R(Å)      exactPDF    g(Te-Te)    g(As-Te)    g(As-As)    
  7.355023    -0.74681     0.45187    -2.43154     4.09496
  7.373503    -0.67152     0.88544    -2.30304     3.26342
  7.391983    -0.54908     0.65645    -2.24549     3.28164
  7.410463    -0.39048     0.64366    -2.24190     2.46867
  7.428943    -0.20818     1.06302    -2.21512     1.81305
  7.447423    -0.01550     0.85562    -1.88896     1.40702
  7.465903     0.17414     1.29780    -1.60050     1.24071
  7.484382     0.34785     1.67234    -1.57369     1.36920
  7.502862     0.49397     1.53354    -1.46956     1.05744
  7.521342     0.60257     1.93412    -1.26489     0.94641
  7.539822     0.66595     2.40679    -0.95727     0.31694
  7.558302     0.67894     2.03774    -0.82992    -0.14833
  7.576782     0.63910     1.89156    -0.83959    -0.50290
  7.595262     0.54675     1.41421    -0.85082    -0.76477
  7.613742     0.40488     1.30826    -1.08157    -0.84124
  7.632222     0.21887     1.12192    -0.96587    -1.09444
  7.650702    -0.00379     0.73632    -0.93532    -1.25546
  7.669182    -0.25402     0.43382    -0.82962    -1.61429
  7.687662    -0.52158     0.20030    -0.56628    -1.42939
  7.706142    -0.79571    -0.41009    -0.79544    -1.76152
  7.724622    -1.06557    -0.85451    -0.85577    -2.11519
  7.743102    -1.32087    -1.57679    -1.09212    -2.00339
  7.761582    -1.55228    -1.61751    -1.12120    -1.82382
  7.780062    -1.75188    -1.72456    -1.09757    -1.92775
  7.798542    -1.91346    -2.19670    -1.37434    -2.02854
  7.817022    -2.03275    -2.27111    -1.53455    -1.94596
  7.835502    -2.10756    -2.47935    -1.50466    -1.45671
  7.853982    -2.13775    -2.56817    -1.77000    -1.59214
  7.872462    -2.12517    -2.42946    -1.98362    -1.56562
  7.890942    -2.07348    -2.28055    -2.17712    -1.30999
  7.909422    -1.98788    -2.10612    -2.16086    -0.59900
  7.927901    -1.87479    -2.01223    -2.22373    -0.66235
  7.946381    -1.74152    -1.58745    -2.47146    -0.36643
  7.964861    -1.59583    -1.01119    -2.38747    -0.31294
  7.983341    -1.44558    -0.73750    -2.41717     0.05166
  8.001821    -1.29835    -0.60826    -2.52098     0.72707
  8.020301    -1.16109    -0.22310    -2.55942     0.75754
  8.038781    -1.03982     0.19425    -2.65768     0.28285
  8.057261    -0.93940     0.35321    -2.65753     0.07685
  8.075741    -0.86335     0.07182    -2.51508     0.78537
  8.094221    -0.81371     0.50351    -2.40960     0.32934
  8.112701    -0.79106     0.21881    -2.44145     0.44668
  8.131181    -0.79451     0.42337    -2.53492     0.35180
  8.149661    -0.82181     0.43352    -2.56400     0.21335
  8.168141    -0.86951     0.24101    -2.22989     0.17854
  8.186621    -0.93316     0.17622    -1.99108     0.66206
  8.205101    -1.00758    -0.28747    -2.07961    -0.05551
  8.223581    -1.08711    -0.52657    -1.97624    -0.47938
  8.242061    -1.16590    -0.84946    -2.22089    -0.66372
  8.260541    -1.23821    -1.30593    -1.94890    -1.01610
  8.279021    -1.29873    -1.44848    -1.60540    -0.98444
  8.297501    -1.34276    -1.49684    -1.14697    -1.32779
  8.315981    -1.36651    -1.77940    -0.84119    -2.14981
  8.334461    -1.36725    -2.04386    -0.54153    -2.33812
  8.352940    -1.34347    -2.19819    -0.08501    -2.18857
  8.371420    -1.29489    -2.30554     0.54967    -2.46068
  8.389900    -1.22257    -2.42126     1.04884    -2.85543
  8.408380    -1.12876    -2.52905     1.15539    -3.09940
  8.426860    -1.01687    -2.62438     1.51244    -3.12832
  8.445340    -0.89125    -2.91009     2.02638    -3.17347
  8.463820    -0.75699    -2.99175     2.42988    -3.49126
  8.482300    -0.61966    -3.12286     3.22054    -3.65807
  8.500780    -0.48505    -3.25220     3.49119    -3.57332
  8.519260    -0.35883    -3.21981     3.29384    -3.61636
  8.537740    -0.24628    -3.35768     3.65632    -3.66409
  8.556220    -0.15199    -3.33915     4.16697    -3.73439
  8.574700    -0.07964    -3.46016     4.65014    -3.73846
  8.593180    -0.03178    -3.46890     5.20611    -3.74201
  8.611660    -0.00967    -3.52037     4.87872    -3.78910
  8.630140    -0.01325    -3.45256     4.47719    -3.77318
  8.648620    -0.04107    -3.43468     4.68735    -3.79898
  8.667100    -0.09043    -3.31541     4.59373    -3.82581
  8.685580    -0.15745    -3.23736     4.51935    -3.82491
  8.704060    -0.23735    -3.23667     3.89418    -3.68422
  8.722540    -0.32465    -3.12160     3.63783    -3.60160
  8.741020    -0.41352    -3.03798     3.57897    -3.55585
  8.759500    -0.49807    -2.64882     2.98530    -3.46605
  8.777979    -0.57271    -2.58019     2.52909    -3.33538
